transaction_id,timestamp,account_id,payer_id,payee_id,amount,currency,merchant_category,country,channel,device_id,ip_hash,balance_before,balance_after,label,notes
tx0001,2025-09-29T08:12:22Z,acct_1001,user_1001,merc_9001,12.50,USD,grocery,US,app,dev_a1,ip_h1,100.00,87.50,0,normal weekly grocery
tx0002,2025-10-01T22:05:03Z,acct_1001,user_1001,merc_9002,9500.00,USD,investment,US,web,dev_a1,ip_h1,15000.00,5500.00,2,large one-off transfer to new payee
tx0003,2025-10-02T02:15:09Z,acct_2002,user_2002,merc_9003,4.99,USD,digital,US,mobile,dev_b3,ip_h2,30.00,25.01,1,repeated micro charge
tx0004,2025-10-02T02:16:01Z,acct_2002,user_2002,merc_9004,4.99,USD,digital,US,mobile,dev_b3,ip_h2,25.01,20.02,1,another micro charge within 60s
tx0005,2025-09-28T14:40:00Z,acct_3003,user_3003,merc_9005,1200.00,USD,airfare,FR,web,dev_c5,ip_h3,5000.00,3800.00,0,vacation charge (clean)
tx0006,2025-10-02T11:30:00Z,acct_4004,user_4004,merc_9006,15000.00,USD,wire,NG,web,dev_d7,ip_h4,20000.00,5000.00,2,high-amount to high-risk country
tx0007,2025-10-02T11:31:10Z,acct_4004,user_4004,merc_9007,14990.00,USD,wire,NG,web,dev_d8,ip_h5,5000.00,-9990.00,2,double large wire -> negative balance
tx0008,2025-10-03T09:00:00Z,acct_5005,user_5005,merc_9008,75.00,USD,subscription,US,app,dev_e2,ip_h6,300.00,225.00,0,monthly fee
tx0009,2025-10-01T12:01:00Z,acct_6006,user_6006,merc_9009,499.99,USD,electronics,US,web,dev_f1,ip_h7,1200.00,700.01,0,new laptop (clean)
tx0010,2025-10-03T03:05:30Z,acct_7007,user_7007,merc_9010,2500.00,USD,crypto_exchange,US,web,dev_g2,ip_h8,3000.00,500.00,1,transfer to exchange (unusual for acct)
tx0011,2025-10-03T03:06:00Z,acct_7007,user_7007,merc_9011,2490.00,USD,crypto_exchange,US,web,dev_g2,ip_h9,500.00,-1990.00,2,double transfer causing overdraft
tx0012,2025-10-03T04:00:00Z,acct_8008,user_8008,merc_9012,10.00,USD,coffee,US,app,dev_h1,ip_h10,50.00,40.00,0,morning coffee
tx0013,2025-10-03T04:00:45Z,acct_8008,user_8008,merc_9013,9.50,USD,coffee,US,app,dev_h2,ip_h11,40.00,30.50,1,two coffees within 45s (suspicious)
tx0014,2025-10-03T04:01:30Z,acct_8008,user_8008,merc_9014,9.00,USD,coffee,US,app,dev_h1,ip_h10,30.50,21.50,1,third coffee, different device pattern
tx0015,2025-09-30T10:00:00Z,acct_9009,user_9009,merc_9015,200.00,USD,gym,US,web,dev_i1,ip_h12,600.00,400.00,0,yearly membership (clean)
tx0016,2025-10-02T18:00:00Z,acct_1010,user_1010,merc_9016,4999.99,USD,car_purchase,US,web,dev_j1,ip_h13,15000.00,10000.01,0,car down payment (large but normal)
tx0017,2025-10-03T20:00:00Z,acct_1111,user_1111,merc_9017,5000.00,USD,wire,US,web,dev_k1,ip_h14,6000.00,1000.00,1,wire same day as new device (suspicious)
tx0018,2025-10-03T20:01:10Z,acct_1111,user_1111,merc_9018,4999.00,USD,wire,US,web,dev_k2,ip_h15,1000.00,-3999.00,2,double wire w/ negative balance
tx0019,2025-10-04T01:00:00Z,acct_1212,user_1212,merc_9019,1.00,USD,micro_donate,US,mobile,dev_l1,ip_h16,10.00,9.00,0,micro donation
tx0020,2025-10-04T01:00:30Z,acct_1212,user_1212,merc_9020,1.00,USD,micro_donate,US,mobile,dev_l1,ip_h16,9.00,8.00,1,repeat micro small pattern
tx0021,2025-09-25T11:00:00Z,acct_1313,user_1313,merc_9021,80.00,USD,restaurant,US,app,dev_m1,ip_h17,300.00,220.00,0,dinner (clean)
tx0022,2025-10-04T12:00:00Z,acct_1414,user_1414,merc_9022,25000.00,USD,wire,IR,web,dev_n1,ip_h18,50000.00,25000.00,2,huge offshore transfer (fraud)
tx0023,2025-10-04T12:00:05Z,acct_1414,user_1414,merc_9023,24999.00,USD,wire,IR,web,dev_n2,ip_h19,25000.00,1.00,2,double wire drain
tx0024,2025-10-04T15:00:00Z,acct_1515,user_1515,merc_9024,30.00,USD,books,US,web,dev_o1,ip_h20,120.00,90.00,0,book purchase
tx0025,2025-10-04T15:01:00Z,acct_1515,user_1515,merc_9025,1000.00,USD,consulting,US,web,dev_o1,ip_h20,90.00,-910.00,2,impossible balance (fraud/data issue)
tx0026,2025-10-04T16:00:00Z,acct_1616,user_1616,merc_9026,15.00,USD,food,US,app,dev_p1,ip_h21,80.00,65.00,0,lunch
tx0027,2025-10-04T16:00:30Z,acct_1616,user_1616,merc_9027,15.00,USD,food,US,app,dev_p1,ip_h21,65.00,50.00,1,two quick food buys (velocity)
tx0028,2025-10-04T16:01:05Z,acct_1616,user_1616,merc_9028,14.50,USD,food,US,app,dev_p2,ip_h22,50.00,35.50,1,third in short time (suspicious)
tx0029,2025-10-05T09:00:00Z,acct_1717,user_1717,merc_9029,20.00,USD,parking,US,app,dev_q1,ip_h23,40.00,20.00,0,parking (clean)
tx0030,2025-10-05T09:00:30Z,acct_1717,user_1717,merc_9030,19.50,USD,parking,US,app,dev_q1,ip_h24,20.00,0.50,1,parking + near-zero balance (suspicious)
